Name
Alexa,
Alice,
AliGenie,
Assistant,
Bixby,
Braina,
CraynAI,
Celia,
Chai,
Claude,
Cleverbot,
Clova,
DeepSeek,,
Copilot,
Ernie Bot,
Gemini,
GigaChat,
Jabberwacky,
Kuki,
Lenny,
Leo,
MegaHAL,
SILVIA,
Simsimi,
Siri,
Q,
Ultra Hal,
Xiaowei,
Albert One,
ALICE,
Charlix,
Cortana,
Dr. Sbaitso,
ELIZA,
Eugene Goostman,
Evi,
Fred,
GooglyMinotaur,
Infobot,
Jeeney AI,
Mark V Shaney,
Mycroft,
PARRY,
Racter,
SmarterChild,
Sparrow,
Tay,
Verbot,
Viv,
Joe,
MARAX,
EPICAC,
EMSIAC,
Vast,
Mima,
Gold,
Bossy,
Multivac,
Miniac,
Merlin,
Microvac,
Vulcan 2,
Simulacron-3,
GENiE,
Muddlehead,
Colossus,
Guardian,
Frost,
Mike,
Supreme,
WESCAC,
Moxon,
Little Brother,
HAL 9000,
Shalmaneser,
Tankande August,
ARDNEH,
Fess,
UniComp,
TENCH,
Maxine,
HARLIE,
TECT,
Dora,
Minerva,
Pallas Athena,
Extro,
FUCKUP,
Murray,
UNITRACK,
Peerssa,
P-1,
Domino,
Obie,
Sigfrid von Shrink,
Albert Einstein,
Polymat,
TOTAL,
ZORAC,
Deep Thought,
Earth,
Earth 2.0,
Eddie,
Spartacus,
SUM,
Zen,
Slave,
Orac,
AVIAS,
Golem XIV,
TECT,
VALIS,
Hactar,
Shirka,
SAL 9000,
Kendy,
BC,
Apple Eve,
Cyclops,
Millichrome,
Loki 7281,
Neuromancer,
Wintermute,
Valentina,
Teletraan 1,
Edgar,
Ghostwheel,
Mandarax,
Gokubi,
Tokugawa,
Com Pewter,
Jane,
Quark 2,
Abulafia,
Arius,
Continuity,
GWB-666,
Maggie,
TechnoCore,
Eagle,
LEVIN,
Thing,
Grand Napoleon,
Yggdrasil,
Jill,
Aleph,
Art Fish,
Blaine the Mono,
Little Blaine,
Patricia,
Center,
Dahak,
FLORANCE,
Hex,
FIDO,
Abraham,
Helen,
Ozymandias,
Ordinator,
Teleputer,
GRUMPY,
SLEEPY,
Rei Toei,
Titania,
DOCTOR,
TRANSLTR,
ENIGMA,
Stormbreaker,
Gabriel,
Antraxx,
Omnius,
Turing Hopper,
FRIDAY,
C Cube,
Cohen,
Deep Winter,
Endless Summer,
Glooper,
Sif,
Mack,
Loki,
Hendrix,
Todd,
SIG,
ELOPe,
Lobsang,
Dragon,
Thunderhead,
Skippy,
Limon,
AIDAN,
MANIAC,
NOVAC,
Interocitor,
EMERAC,
SUSIE,
Alpha 60,
Alfie,
DUEL,
Mother,
Tabernacle,
Zero,
Poteus IV,
MUTHR,
NELL,
ROK,
WOPR,
Huxley 600,
Aldous,
Skynet,
Max Headroom,
A7,
DARYL,
Max,
GORN,
Angela,
Zed,
Central,
Lucy,
Gibson,
Father,
